"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"1",1,"tcp","tcpmux","TCP Port Service Multiplexer",,,,,3.75373393847912e-07
"2",1,"udp","tcpmux","TCP Port Service Multiplexer",,,,,3.37484964007186e-07
"3",2,"tcp","compressnet","Management Utility",,,,,2.32327281909793e-08
"4",2,"udp","compressnet","Management Utility",,,,,4.97181676709173e-09
"5",3,"tcp","compressnet","Compression Process",,,,,3.5405484867575e-07
"6",3,"udp","compressnet","Compression Process",,,,,3.33015289764222e-10
"7",5,"tcp","rje","Remote Job Entry",,,,,2.28955379307684e-08
"8",5,"udp","rje","Remote Job Entry",,,,,5.12129708152369e-10
"9",7,"tcp","echo","Echo",,,,,7.27252837334332e-08
"10",7,"udp","echo","Echo",,,,,0
"11",9,"tcp","discard","Discard",,,,,6.45974348949863e-08
"12",9,"udp","discard","Discard",,,,,5.39471671471265e-10
"13",11,"tcp","systat","Active Users",,,,,3.77055497627181e-08
"14",11,"udp","systat","Active Users",,,,,1.7051889099765e-10
"15",13,"tcp","daytime","Daytime",,,"[RFC867]",,7.91327172990973e-08
"16",13,"udp","daytime","Daytime",,,"[RFC867]",,3.76565961876742e-12
"17",17,"tcp","qotd","Quote of the Day",,,,,4.485424523812e-08
"18",17,"udp","qotd","Quote of the Day",,,,,1.06011504484864e-09
"19",18,"tcp","msp","Message Send Protocol (historic)",,,,,2.20268166291519e-08
"20",18,"udp","msp","Message Send Protocol (historic)",,,,,5.14994883949254e-10
"21",19,"tcp","chargen","Character Generator",,,,,4.62314943126023e-08
"22",19,"udp","chargen","Character Generator",,,,,7.46337364006636e-09
"23",20,"tcp","ftp-data","File Transfer [Default Data]",,,,,9.07673527025059e-05
"24",20,"udp","ftp-data","File Transfer [Default Data]",,,,,4.02687360306459e-08
"25",21,"tcp","ftp","File Transfer Protocol [Control]",,,"[RFC959]","Defined TXT keys: u=<username> p=<password> path=<path>",8.23624384174617e-06
"26",21,"udp","ftp","File Transfer Protocol [Control]",,,"[RFC959]","Defined TXT keys: u=<username> p=<password> path=<path>",1.03044819602605e-07
"27",22,"tcp","ssh","The Secure Shell (SSH) Protocol",,,"[RFC4251]","Defined TXT keys: u=<username> p=<password>",0.00106195140936551
"28",22,"udp","ssh","The Secure Shell (SSH) Protocol",,,"[RFC4251]","Defined TXT keys: u=<username> p=<password>",5.93893639179072e-09
"29",23,"tcp","telnet","Telnet",,,"[RFC854]","Defined TXT keys: u=<username> p=<password>",2.14799440448729e-05
"30",23,"udp","telnet","Telnet",,,"[RFC854]","Defined TXT keys: u=<username> p=<password>",1.43987363118478e-09
"31",25,"tcp","smtp","Simple Mail Transfer",,2017-06-05,"[RFC5321]",,0.00112006309365179
"32",25,"udp","smtp","Simple Mail Transfer",,2017-06-05,"[RFC5321]",,1.6345418610416e-09
"33",27,"tcp","nsw-fe","NSW User System FE",,,,,2.61988400380837e-08
"34",27,"udp","nsw-fe","NSW User System FE",,,,,5.70620225491702e-09
"35",29,"tcp","msg-icp","MSG ICP",,,,,2.23845542929348e-08
"36",29,"udp","msg-icp","MSG ICP",,,,,7.16212087056426e-10
"37",31,"tcp","msg-auth","MSG Authentication",,,,,2.52163303262479e-08
"38",31,"udp","msg-auth","MSG Authentication",,,,,5.66568048293247e-10
"39",33,"tcp","dsp","Display Support Protocol",,,,,2.54391591410802e-08
"40",33,"udp","dsp","Display Support Protocol",,,,,3.85718151993661e-09
"41",37,"tcp","time","Time",,,,,1.34676114813751e-07
"42",37,"udp","time","Time",,,,,4.23718569276956e-09
"43",38,"tcp","rap","Route Access Protocol",,,,,2.22390033624529e-08
"44",38,"udp","rap","Route Access Protocol",,,,,1.95732438010279e-10
"45",39,"tcp","rlp","Resource Location Protocol",,,,,2.16374801694376e-08
"46",39,"udp","rlp","Resource Location Protocol",,,,,5.14012537961767e-10
"47",41,"tcp","graphics","Graphics",,,,,2.4765269793652e-08
"48",41,"udp","graphics","Graphics",,,,,1.49725900928831e-10
"49",42,"tcp","name","Host Name Server",,,,,2.51848952546477e-08
"50",42,"udp","name","Host Name Server",,,,,1.31634362325606e-10
"51",43,"tcp","nicname","Who Is",,,,,2.76449327379911e-06
"52",43,"udp","nicname","Who Is",,,,,5.12702743312697e-10
"53",44,"tcp","mpm-flags","MPM FLAGS Protocol",,,,,2.46446049615202e-08
"54",44,"udp","mpm-flags","MPM FLAGS Protocol",,,,,1.0150908537546e-10
"55",45,"tcp","mpm","Message Processing Module [recv]",,,,,2.6545771896004e-08
"56",45,"udp","mpm","Message Processing Module [recv]",,,,,4.04808409017497e-10
"57",46,"tcp","mpm-snd","MPM [default send]",,,,,2.37506701128911e-08
"58",46,"udp","mpm-snd","MPM [default send]",,,,,9.48209464438755e-10
"59",48,"tcp","auditd","Digital Audit Daemon",,,,,2.46950320555455e-08
"60",48,"udp","auditd","Digital Audit Daemon",,,,,1.1276513314896e-09
"61",49,"tcp","tacacs","Login Host Protocol (TACACS)",,,,,4.27428562623102e-08
"62",49,"udp","tacacs","Login Host Protocol (TACACS)",,,,,0
"63",50,"tcp","re-mail-ck","Remote Mail Checking Protocol",,,,,4.03371997337297e-05
"64",50,"udp","re-mail-ck","Remote Mail Checking Protocol",,,,,8.30655394600717e-10
"65",52,"tcp","xns-time","XNS Time Protocol",,,,,2.22755138883218e-08
"66",52,"udp","xns-time","XNS Time Protocol",,,,,3.74519407736118e-10
"67",53,"tcp","domain","Domain Name Server",,,,,0.000110808288890387
